x_1,x_2,x_3,x_4,x_5,x_6,x_7,y
15.310142108453965,,8.436759006645666,3.723420581049509,Dec,,1.3197334707443842,21.408846173307165
11.84175029896164,1.5585343409143302,-4.7766432016814875,4.304625417979785,Dec,MB,7.129584578833091,0.27307180990453395
4.343978084317914,,,4.540588093674706,,MM,,19.01081058453836
,2.4286723718104906,9.003936483107285,4.456991767090268,,MA,,13.56404037954448
14.892188057327173,,8.468824374234458,1.070599613921383,,B,3.3692608080484385,25.49316340856238
-0.2475855198410386,,,4.4227646837220105,,MB,,13.053499500152487
4.35656342764943,1.3900320763462457,8.285605625210348,4.180955873600079,App,MB,,11.378272828215144
1.7127079267607002,-0.7306935418029921,-6.960014900204171,2.5659277171125887,Dec,B,1.084769228131518,-6.346627798117169
9.52957218371637,3.1981025669845264,-1.812194504505813,2.571779903331829,,MM,,6.325993611412004
-3.908344011169376,,11.626450167041781,4.517305524167056,Dec,MM,0.8126249618814779,8.137528829254371
13.516164787575152,2.4325663005093046,-8.458139743309662,2.0470606846279944,Dec,A,-0.06861401225564934,1.8322072621631385
-3.938106261623019,,,4.482810782079141,Dec,MA,,-7.492525987142978
12.13467165453475,6.614345856246957,-8.099528931454683,3.7617581292835727,,MB,,-2.219311991037905
0.3363937525370728,,2.3541818055949673,1.2081108646178351,Dec,MM,3.9619735777671456,6.184526608556583
3.901076502550314,0.9683556642605126,3.115597097973181,1.7407340563303215,App,,,9.410504632032413
11.546105245824235,-0.9385999178785067,13.871144447374022,3.76012544340509,Dec,B,,25.274553592041425
-3.968179770777773,,4.5715552549480964,3.0314992722596714,App,,,2.970544061148397
1.2200306415950255,,2.7030831543354097,3.9488506097803637,Dec,B,5.393162371673947,2.463499261695976
11.465082043109478,2.553170331307041,13.00592851491383,4.724232909527644,,B,,21.298552644105317
14.730704885587459,,-1.5674789661914543,4.117724160714538,Dec,MB,,7.163845608710496
12.143954739543164,,4.422228215971783,4.3939765543609415,,MA,-0.8782171953087792,11.946018234959908
13.612392173981435,,12.435359995364053,4.454018535020193,,A,,23.11012653513974
4.553262660404513,,9.737819559411605,4.396785415736417,App,,-3.044439833204271,12.743789772262517
-5.743656073143528,,2.419523900526565,4.333694520643158,App,B,,-4.4572225561659575
-3.5839015432533063,0.09650676429405813,,4.23491754903893,App,MM,,
5.106931303219218,,,3.389804948560614,Dec,MB,,-6.725098793148042
0.1560363629652448,,11.841408922265124,4.001682076939508,,MB,,13.110156047455396
-5.263615282932289,1.9125108452088568,1.124293927726434,1.7512477244145201,App,MA,,-0.32691873486822454
15.184069954814403,,-4.707939165267604,4.316585149751931,Dec,MM,,2.947718069627839
-4.0707179679694825,-1.59217878812974,13.152197370391665,4.196887738174623,App,B,2.3464396150688867,10.910964447038829
