Volumen,Potencia
0.0,0.0
0.010001000100010001,0.0005
0.020002000200020003,0.001001
0.030003000300030003,0.001501
0.040004000400040006,0.002002
0.05000500050005001,0.002503
0.060006000600060005,0.003005
0.07000700070007002,0.003506
0.08000800080008001,0.004008
0.09000900090009001,0.004511
0.10001000100010002,0.005013
0.11001100110011001,0.005516
0.12001200120012001,0.006019
0.13001300130013002,0.006522
0.14001400140014003,0.007025
0.15001500150015,0.007529
0.16001600160016002,0.008033
0.17001700170017003,0.008537
0.18001800180018002,0.009042
0.19001900190019003,0.009546
0.20002000200020004,0.010051
0.21002100210021002,0.010556
0.22002200220022003,0.011062
0.23002300230023004,0.011568
0.24002400240024002,0.012074
0.25002500250025006,0.01258
0.26002600260026004,0.013086
0.27002700270027,0.013593
0.28002800280028006,0.0141
0.29002900290029004,0.014607
0.3000300030003,0.015115
0.31003100310031007,0.015622
0.32003200320032005,0.01613
0.33003300330033003,0.016639
0.34003400340034007,0.017147
0.35003500350035005,0.017656
0.36003600360036003,0.018165
0.37003700370037007,0.018674
0.38003800380038005,0.019184
0.39003900390039004,0.019693
0.4000400040004001,0.020203
0.41004100410041006,0.020714
0.42004200420042004,0.021224
0.4300430043004301,0.021735
0.44004400440044006,0.022246
0.45004500450045004,0.022757
0.4600460046004601,0.023269
0.47004700470047006,0.023781
0.48004800480048004,0.024293
0.4900490049004901,0.024805
0.5000500050005001,0.025318
0.51005100510051,0.025831
0.5200520052005201,0.026344
0.5300530053005301,0.026857
0.54005400540054,0.027371
0.5500550055005501,0.027884
0.5600560056005601,0.028399
0.57005700570057,0.028913
0.5800580058005801,0.029428
0.5900590059005901,0.029942
0.6000600060006,0.030458
0.6100610061006101,0.030973
0.6200620062006201,0.031489
0.6300630063006301,0.032005
0.6400640064006401,0.032521
0.6500650065006501,0.033037
0.6600660066006601,0.033554
0.6700670067006701,0.034071
0.6800680068006801,0.034588
0.6900690069006901,0.035106
0.7000700070007001,0.035623
0.7100710071007101,0.036141
0.7200720072007201,0.03666
0.7300730073007301,0.037178
0.7400740074007401,0.037697
0.7500750075007501,0.038216
0.7600760076007601,0.038735
0.7700770077007701,0.039255
0.7800780078007801,0.039775
0.7900790079007901,0.040295
0.8000800080008001,0.040815
